title,date,location,thema,imagePath
Italiaanse Avond,2026-04-10,Amsterdam,Italiaans,italiaans.jpg
Mexicaanse Fiesta,2026-04-15,Utrecht,Mexicaans,mexicaans.jpg
Sushi Night,2026-04-20,Rotterdam,Japan,sushi.jpg
Franse Bistro,2026-04-25,Den Haag,Frans,bistro.jpg
Tapas Avond,2026-05-01,Groningen,Spaans,tapas.jpg
BBQ Party,2026-05-05,Eindhoven,BBQ,bbq.jpg
Vegan Delight,2026-05-10,Haarlem,Vegan,vegan.jpg
Streetfood Night,2026-05-15,Leiden,Streetfood,streetfood.jpg
Mediterraans Diner,2026-05-20,Maastricht,Mediterraans,Mediterraans.jpg
Winter Comfort Food,2026-05-25,Zwolle,Comfort Food,winter.jpg